69.21243	1421245	0.00007
69.29581	3852107	0.00007
69.29587	4606027	0.00010
69.29595	2604363	0.00005
69.29602	2547531	0.00009
69.37252	2250072	0.00009
69.70653	2058131	0.00004
69.70659	3041683	0.00003
70.00590	1340876	0.00010
70.04119	2031571	0.00008
70.04128	1831379	0.00008
70.12848	1338213	0.00009
70.24707	1432957	0.00013
70.31264	1843723	0.00005
70.31275	11765259	0.00010
70.31290	7027723	0.00008
70.31306	1937931	0.00011
70.33457	1360527	0.00009
70.36475	1346966	0.00010
70.39063	3003931	0.00004
70.39080	7451163	0.00006
70.39087	2283547	0.00005
70.39098	1723419	0.00006
70.66727	6633560	0.00010
70.66744	1933912	0.00006
70.66810	1920856	0.00011
70.66819	1868888	0.00011
70.73355	1342055	0.00008
70.73508	2388583	0.00008
70.73536	3217895	0.00012
70.73553	1347175	0.00009
70.73566	1578855	0.00010
70.73594	2257256	0.00007
70.73607	1944551	0.00012
70.73616	1510824	0.00006
70.73626	2029416	0.00007
70.73637	1621608	0.00007
70.73649	1537128	0.00007
70.73668	1691752	0.00012
70.73679	1840232	0.00007
70.73711	3192936	0.00014
70.73730	2139752	0.00008
70.73756	1647848	0.00012
70.73773	1885288	0.00011
70.73788	1426792	0.00010
70.73800	1799144	0.00010
70.73810	2487784	0.00011
70.73872	2128232	0.00007
70.81640	6441594	0.00008
70.81653	4217466	0.00008
70.81669	46719608	0.00008
70.81685	31003258	0.00011
70.81695	8501882	0.00006
70.81701	6273658	0.00007
70.82161	2564987	0.00010
71.04195	2320047	0.00005
71.04201	3895983	0.00005
71.04221	2513583	0.00004
71.06256	1839028	0.00009
71.06266	2314676	0.00013
71.06754	4323510	0.00012
71.06765	3454390	0.00011
71.15074	1447754	0.00010
71.18001	1436625	0.00012
71.18614	1410259	0.00007
71.35832	2694910	0.00004
71.35849	9097982	0.00007
71.35858	1689854	0.00005
71.46837	1400602	0.00009
71.61433	3057217	0.00010
71.69272	1397846	0.00006
71.82354	22997882	0.00010
71.82371	7146362	0.00009
71.82388	1956986	0.00010
72.26412	39191544	0.00010
72.26429	12067833	0.00009
72.26446	3425785	0.00010
72.37985	1557404	0.00015
72.38077	1781404	0.00012
72.38099	1842204	0.00016
72.38138	1612444	0.00008
72.38186	1340316	0.00008
72.38212	1522076	0.00011
72.38228	1419420	0.00008
72.38253	2117148	0.00008
72.38277	1530524	0.00011
72.38295	1444764	0.00009
72.38313	1352557	0.00013
72.38321	1506333	0.00010
72.48720	2814780	0.00009
72.70796	42132608	0.00011
72.70814	12647554	0.00009
72.70831	3752322	0.00010
72.89997	5809344	0.00013
72.92367	3639496	0.00009
72.93090	2993354	0.00011
72.98942	1477086	0.00011
72.99302	1424479	0.00011
73.02942	1639275	0.00012
73.05714	1420788	0.00009
73.05831	154543344	0.00012
73.06580	6881527	0.00015
73.21087	1903913	0.00008
73.25906	62817592	0.00010
73.29552	2762566	0.00010
73.29567	2045638	0.00010
73.32125	1340751	0.00012
73.46149	44043648	0.00015
73.66221	11480521	0.00013
74.02472	1938001	0.00015
74.06682	1391586	0.00009
74.10306	1518192	0.00009
74.10365	1439472	0.00010
74.10463	1530992	0.00009
74.10507	1519217	0.00014
74.10696	1463153	0.00008
74.12147	1533815	0.00010
74.17668	1350669	0.00009
74.25012	3039914	0.00007
74.25023	3460266	0.00008
74.26542	1413680	0.00011
74.28891	2397881	0.00014
74.28912	1682361	0.00011
74.34337	1572943	0.00009
74.73120	1388783	0.00014
74.73634	1488753	0.00007
74.73646	8905585	0.00010
74.73664	5444466	0.00010
74.77583	1359490	0.00010
75.00872	2034407	0.00011
75.01776	1921003	0.00006
75.01783	2972651	0.00005
75.01801	9566187	0.00006
75.01811	2405355	0.00006
75.06278	1702654	0.00014
75.06918	1397761	0.00011
75.11750	1496855	0.00010
75.24025	1423950	0.00010
75.28100	1382112	0.00010
75.37884	2609549	0.00010
75.73437	4518195	0.00004
75.73443	8300851	0.00004
75.73453	63187252	0.00008
75.73473	10504499	0.00006
76.05460	1355854	0.00010
76.06899	2039254	0.00010
76.06914	3791062	0.00014
76.19578	1426965	0.00010
76.65014	1994494	0.00004
76.65024	14027518	0.00008
76.65035	15665918	0.00008
76.65044	3069694	0.00006
76.65052	1634558	0.00005
76.72169	2216740	0.00006
77.31558	1452007	0.00011
77.55388	1595118	0.00020
77.56315	1528435	0.00011
77.66492	1362606	0.00010
77.73217	1529301	0.00011
77.79295	10093432	0.00015
77.79310	6053241	0.00015
77.84232	1437333	0.00012
78.04385	1367052	0.00008
78.29220	2217378	0.00013
78.39776	1356899	0.00011
78.79615	5847003	0.00011
78.79635	3287515	0.00010
78.91880	4534313	0.00017
78.95877	1553987	0.00008
78.95898	18106434	0.00017
79.02632	2411374	0.00014
79.02640	2567278	0.00012
79.19495	1676252	0.00012
79.41593	1565165	0.00018
79.61287	1546097	0.00011
79.61488	1447922	0.00012
79.63948	1687811	0.00011
79.65433	1357325	0.00015
79.68622	1421090	0.00007
79.69807	1364010	0.00004
79.69814	2293290	0.00004
79.69836	10117674	0.00008
79.69846	2056746	0.00005
79.73474	2631747	0.00008
79.95728	1746523	0.00013
80.01711	3296772	0.00015
80.01753	1584901	0.00010
80.04656	1349913	0.00014
80.32149	1432281	0.00009
80.35711	2063858	0.00011
80.35733	1605107	0.00010
80.37007	3032572	0.00007
80.39437	1984269	0.00012
80.39519	1454733	0.00012
80.39810	1403663	0.00008
80.72600	1371387	0.00009
80.72609	3050747	0.00010
80.74096	2419078	0.00010
80.74107	3107078	0.00017
80.74116	2156550	0.00012
80.74347	1505927	0.00013
80.77793	1375392	0.00012
80.80122	5167409	0.00015
80.80144	2836018	0.00018
80.84436	6200657	0.00011
80.84458	2178385	0.00010
