# Run Date: 2025-06-09 20:13:37
# Command: mimi_kegg_extract -l 40 -u 1000 -o data/processed/kegg_compounds_40_1000Da_v3.tsv
# Number ofcompounds: 16089     
#
# compound         KEGG Compound Database
# cpd              Release 114.0+/06-09, Jun 25
#                  Kanehisa Laboratories
# 
# Mass range: 40.0-1000.0 Da
#
CF	ID	Name
C4H6O	C17721	Vinyl ether
C37H61NO14	C12003	Demethyllactenocin
C5H10N2O3	C05100	3-Ureidoisobutyrate
C16H29NO	C20031	Pumiliotoxin 251D
C13H8S2	C08462	Thiarubrine B
C8H12N2O	C19681	4-(Hydroxylamino)-N,N-dimethylaniline
C21H24FN3O4	C07663	Moxifloxacin
C25H34O9	C08755	Castelanone
C10H18O9	C20570	alpha-1,5-L-Arabinobiose
C29H30O8	C09829	Piperaduncin B
C12H18O3	C08491	(-)-Jasmonic acid
C15H10O4	C12123	7,4'-Dihydroxyflavone
C20H22N2O	C18727	Fenazaquin
C6H10N4	C20267	4-Amino-5-aminomethyl-2-methylpyrimidine
C14H21N5O4	C20910	L-4-Hydroxyphenylglycyl-L-arginine
C13H16N2O4	C04148	Phenylacetylglutamine
C20H24N2O6	C07699	Nisoldipine
C20H32O8	C17648	Cinncassiol B
C24H16O10	C06775	11-O-Demethylpradinone I
C21H20O12	C10108	Myricitrin
C8H10	C07208	m-Xylene
C40H56O4	C13433	9-cis-Violaxanthin
C3H6O	C11507	(S)-1,2-Epoxypropane
C14H14O3	C09918	Aucuparin
C8H7ClN2O2S	C06949	Diazoxide
C6H14O6	C01722	L-Glucitol
C21H30O5	C00735	Cortisol
C6H12N4O2	C21026	Iminoarginine
C4H6O6	C00552	meso-Tartaric acid
C7H12N4O3S2	C19092	Ethidimuron
C20H19F3N2O4	C18562	Trifloxystrobin
C21H22O11	C09803	Neoastilbin
C5H9NO4	C12269	N-Methyl-D-aspartic acid
C19H18O6	C18678	UWM6
C42H57NO7	C20550	Lolitrem E
C8H10N4O3	C16361	1,3,7-Trimethyluric acid
C10H12N2O4	C03227	3-Hydroxy-L-kynurenine
C12H14N2O2	C02983	Abrine
C22H36O3	C10759	6-Pentadecylsalicylic acid
C13H10O2	C08447	Dehydrosafynol
C17H27NO4	C07915	Metipranolol
C20H28O3	C16677	all-trans-4-Hydroxyretinoic acid
C12H9ClF3N3O	C18874	Norflurazon
C28H39N	C20525	3-Geranylgeranylindole
C15H12O6	C16233	2,6,7,4'-Tetrahydroxyisoflavanone
C19H30O3	C15136	3beta-Hydroxy-D-homo-17a-oxa-5alpha-androstan-17-one
C12H19N3O5	C19429	HC Blue No. 2
C27H34O11	C17048	Forsythin
C15H21NO	C22754	alpha-Pyrrolidinovalerophenone
C16H20NO4	C10734	Pteleatine
C25H33NO	C15128	1'H-5alpha-Androst-2-eno[3,2-b]indol-17beta-ol
C8H7NO	C02040	Hydroxyindole
C3H4O3	C20363	Ethylene carbonate
C12H11N3	C14416	Trp-P-2
C26H29NO5	C10585	Cryogenine
C15H21N5O6S	C22221	7-Deoxycylindrospermopsin
C6H4ClNO2	C19364	1-Chloro-3-nitrobenzene
C10H13NO3	C16586	2-Phenyl-1,3-propanediol monocarbamate
C7H9N	C15562	Benzylamine
C25H32O13	C11665	7-Deoxygardoside metyl ester tetraacetate
C19H23NO3	C09342	Armepavine
